Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Corrientes,General Alvear,0.0,477.0,10.0,1086.0,12.0,936.0
Corrientes,Beron De Astrada,0.0,137.0,3.0,301.0,5.0,288.0
Córdoba,Capital,23.0,58120.0,437.0,149261.0,411.0,132716.0
Córdoba,San Justo,0.0,9838.0,158.0,24255.0,172.0,21387.0
Córdoba,Rio Cuarto,0.0,11863.0,142.0,28900.0,155.0,24194.0
Córdoba,Colon,1.0,13616.0,96.0,34951.0,97.0,29481.0
Córdoba,Union,0.0,4780.0,90.0,12013.0,98.0,10336.0
Córdoba,General San Martin,2.0,6949.0,80.0,16719.0,80.0,13699.0
Córdoba,Punilla,0.0,8649.0,78.0,22996.0,82.0,19945.0
Córdoba,Cruz Del Eje,0.0,3124.0,73.0,7539.0,82.0,6409.0
Córdoba,Santa Maria,0.0,6745.0,70.0,16655.0,70.0,13320.0
Córdoba,Marcos Juarez,0.0,4276.0,69.0,10712.0,82.0,9015.0
Córdoba,Tercero Arriba,0.0,5123.0,66.0,12660.0,70.0,10615.0
Córdoba,Rio Segundo,0.0,4752.0,64.0,12120.0,73.0,10358.0
Córdoba,Rio Primero,0.0,2879.0,63.0,6664.0,74.0,5637.0
Córdoba,Calamuchita,0.0,3329.0,54.0,8474.0,67.0,7104.0
Córdoba,San Alberto,0.0,1903.0,49.0,4666.0,54.0,3958.0
Córdoba,San Javier,0.0,2613.0,49.0,7043.0,52.0,5838.0
Córdoba,Juarez Celman,0.0,3118.0,48.0,7504.0,55.0,6295.0
Córdoba,Ischilin,0.0,1743.0,37.0,4159.0,41.0,3859.0
Córdoba,Presidente Roque Saenz Pena,0.0,1616.0,33.0,4130.0,33.0,3526.0
Córdoba,Tulumba,0.0,621.0,33.0,1454.0,42.0,1262.0
Córdoba,Rio Seco,0.0,712.0,29.0,1890.0,37.0,1619.0
Córdoba,General Roca,0.0,1592.0,29.0,3828.0,35.0,3338.0
Córdoba,Totoral,0.0,1032.0,25.0,2627.0,35.0,2260.0
Córdoba,Pocho,0.0,208.0,21.0,472.0,28.0,471.0
Córdoba,Minas,0.0,215.0,21.0,499.0,25.0,454.0
Córdoba,Sobremonte,0.0,192.0,9.0,468.0,14.0,474.0
Entre Ríos,Parana,19.0,16035.0,232.0,40780.0,225.0,34203.0
Entre Ríos,Gualeguaychu,8.0,5322.0,106.0,13745.0,111.0,11683.0
Entre Ríos,Concordia,10.0,9948.0,104.0,24910.0,90.0,19760.0
Entre Ríos,Uruguay,7.0,4867.0,86.0,12543.0,96.0,10989.0
Entre Ríos,La Paz,3.0,3579.0,82.0,9094.0,97.0,7510.0
Entre Ríos,Villaguay,1.0,2582.0,79.0,6258.0,93.0,5445.0
Entre Ríos,Nogoya,7.0,1874.0,71.0,4731.0,90.0,3961.0
Entre Ríos,Federacion,0.0,3853.0,66.0,9326.0,76.0,7362.0
Entre Ríos,Diamante,5.0,2155.0,56.0,5216.0,56.0,4404.0
Entre Ríos,Colon,4.0,3368.0,53.0,8095.0,53.0,6808.0
Entre Ríos,Federal,4.0,1448.0,49.0,3327.0,56.0,2784.0
Entre Ríos,Gualeguay,2.0,2558.0,47.0,6359.0,56.0,5287.0
Entre Ríos,Victoria,10.0,1744.0,40.0,4259.0,46.0,3629.0
Entre Ríos,Tala,3.0,1410.0,36.0,3601.0,47.0,2963.0
Entre Ríos,Feliciano,1.0,825.0,27.0,2002.0,30.0,1752.0
Entre Ríos,Islas Del Ibicuy,3.0,707.0,22.0,1790.0,25.0,1491.0
Entre Ríos,San Salvador,2.0,947.0,19.0,2487.0,19.0,2170.0
Formosa,Patino,3.0,4619.0,102.0,11476.0,131.0,8864.0
Formosa,Formosa,13.0,11953.0,99.0,30764.0,89.0,26381.0
Formosa,Pilcomayo,5.0,4950.0,68.0,11883.0,60.0,9453.0
Formosa,Pirane,4.0,3897.0,68.0,9417.0,100.0,7940.0
Formosa,Bermejo,0.0,987.0,47.0,2371.0,60.0,1864.0
Formosa,Ramon Lista,0.0,1333.0,34.0,3239.0,59.0,2578.0
Formosa,Pilagas,0.0,1003.0,27.0,2530.0,34.0,2118.0
Formosa,Laishi,0.0,982.0,21.0,2496.0,23.0,2230.0
Formosa,Matacos,0.0,1019.0,15.0,2539.0,25.0,2024.0
Jujuy,Dr. Manuel Belgrano,26.0,13306.0,106.0,36369.0,87.0,29775.0
Jujuy,San Pedro,6.0,4211.0,44.0,10745.0,41.0,8540.0
Jujuy,El Carmen,5.0,6190.0,43.0,15576.0,42.0,12999.0
Jujuy,Yavi,2.0,1332.0,36.0,3247.0,36.0,2798.0
Jujuy,Humahuaca,0.0,1040.0,33.0,2892.0,35.0,2366.0
Jujuy,Ledesma,1.0,4449.0,31.0,11518.0,27.0,9498.0
Jujuy,Cochinoca,0.0,755.0,28.0,2002.0,32.0,1782.0
Jujuy,Palpala,2.0,2855.0,21.0,7650.0,22.0,6532.0
Jujuy,Tilcara,0.0,626.0,16.0,1787.0,18.0,1565.0
Jujuy,Santa Catalina,0.0,172.0,15.0,350.0,16.0,304.0
Jujuy,Tumbaya,0.0,209.0,15.0,631.0,15.0,468.0
Jujuy,Santa Barbara,1.0,1061.0,14.0,2848.0,15.0,2152.0
Jujuy,Rinconada,0.0,86.0,12.0,292.0,13.0,187.0
Jujuy,Susques,0.0,249.0,9.0,604.0,10.0,483.0
Jujuy,San Antonio,0.0,308.0,6.0,820.0,6.0,617.0
Jujuy,Valle Grande,0.0,111.0,6.0,332.0,8.0,273.0
La Pampa,Capital,13.0,4696.0,61.0,12927.0,42.0,10902.0
La Pampa,Maraco,0.0,2981.0,26.0,7633.0,25.0,6334.0
La Pampa,Utracan,0.0,764.0,12.0,2084.0,14.0,1668.0
La Pampa,Conhelo,0.0,607.0,10.0,1567.0,10.0,1227.0
La Pampa,Rancul,0.0,509.0,10.0,1281.0,11.0,1164.0
La Pampa,Chapaleufu,0.0,551.0,9.0,1353.0,9.0,1136.0
La Pampa,Realico,0.0,709.0,9.0,1924.0,12.0,1672.0
La Pampa,Puelen,0.0,614.0,8.0,1576.0,8.0,1178.0
La Pampa,Atreuco,0.0,420.0,8.0,1146.0,8.0,1002.0
La Pampa,Toay,0.0,899.0,7.0,2436.0,7.0,1773.0
La Pampa,Loventue,0.0,377.0,6.0,993.0,7.0,858.0
La Pampa,Quemu Quemu,0.0,332.0,5.0,825.0,7.0,807.0
La Pampa,Guatrache,0.0,358.0,5.0,894.0,7.0,827.0
La Pampa,Catrilo,0.0,372.0,5.0,1019.0,6.0,794.0
La Pampa,Hucal,0.0,286.0,5.0,693.0,5.0,617.0
La Pampa,Trenel,0.0,249.0,4.0,580.0,4.0,495.0
La Pampa,Chical Co,0.0,66.0,3.0,180.0,3.0,163.0
La Pampa,Limay Mahuida,0.0,14.0,2.0,46.0,2.0,24.0
La Pampa,Curaco,0.0,54.0,2.0,125.0,2.0,90.0
La Pampa,Caleu Caleu,0.0,110.0,2.0,325.0,3.0,283.0
La Pampa,Lihuel Calel,0.0,22.0,1.0,52.0,1.0,44.0
La Pampa,Chalileo,0.0,130.0,1.0,354.0,2.0,270.0
La Rioja,Capital,12.0,8628.0,87.0,23293.0,84.0,20533.0
La Rioja,Chilecito,4.0,2573.0,30.0,7038.0,31.0,6402.0
La Rioja,Rosario Vera Penaloza,0.0,745.0,21.0,1900.0,34.0,1616.0
La Rioja,General Juan Facundo Quiroga,0.0,187.0,19.0,406.0,25.0,417.0
La Rioja,General Belgrano,0.0,346.0,17.0,784.0,20.0,728.0
La Rioja,General Felipe Varela,0.0,479.0,16.0,1249.0,18.0,1001.0
La Rioja,General San Martin,0.0,222.0,14.0,643.0,23.0,550.0
La Rioja,Arauco,1.0,764.0,14.0,1915.0,13.0,1593.0
La Rioja,Chamical,0.0,720.0,13.0,1589.0,24.0,1472.0
La Rioja,Famatina,0.0,265.0,13.0,757.0,14.0,711.0
La Rioja,General Ortiz De Ocampo,0.0,298.0,9.0,765.0,29.0,696.0
La Rioja,Independencia,0.0,111.0,8.0,291.0,10.0,257.0
La Rioja,Vinchina,0.0,116.0,6.0,294.0,7.0,257.0
La Rioja,Castro Barros,0.0,239.0,6.0,626.0,7.0,511.0
La Rioja,San Blas De Los Sauces,0.0,194.0,6.0,501.0,7.0,422.0
La Rioja,General Lamadrid,0.0,86.0,2.0,191.0,2.0,187.0
La Rioja,Sanagasta,0.0,124.0,1.0,361.0,1.0,270.0
La Rioja,Angel Vicente Penaloza,0.0,138.0,0.0,392.0,0.0,296.0
Mendoza,San Rafael,30.0,9770.0,132.0,24756.0,130.0,19958.0
Mendoza,Guaymallen,26.0,14431.0,83.0,36996.0,87.0,29798.0
Mendoza,Maipu,13.0,10215.0,72.0,26442.0,69.0,21528.0
Mendoza,Godoy Cruz,22.0,7559.0,70.0,19838.0,67.0,16701.0
Mendoza,Capital,20.0,4557.0,60.0,11563.0,62.0,9394.0
Mendoza,San Martin,23.0,6520.0,59.0,17257.0,62.0,13262.0
Mendoza,Las Heras,26.0,11303.0,55.0,28992.0,55.0,23685.0
Mendoza,Lujan De Cuyo,11.0,7858.0,55.0,20822.0,56.0,17463.0
Mendoza,Lavalle,17.0,2567.0,45.0,6674.0,46.0,5019.0
Mendoza,General Alvear,16.0,2260.0,40.0,6260.0,43.0,4846.0
Mendoza,Rivadavia,13.0,2949.0,30.0,7683.0,31.0,6036.0
Mendoza,Tunuyan,13.0,2891.0,29.0,7833.0,31.0,6153.0
Mendoza,Junin,12.0,2075.0,28.0,5299.0,28.0,4319.0
Mendoza,San Carlos,18.0,1961.0,27.0,5109.0,30.0,4018.0
Mendoza,Malargue,7.0,1629.0,22.0,4345.0,22.0,3426.0
Mendoza,Tupungato,5.0,2125.0,20.0,5685.0,22.0,4481.0
Mendoza,Santa Rosa,15.0,994.0,19.0,2509.0,22.0,1897.0
Mendoza,La Paz,4.0,574.0,9.0,1499.0,11.0,1108.0
Misiones,Capital,14.0,18639.0,138.0,47460.0,129.0,37696.0
Misiones,Obera,2.0,6333.0,99.0,16152.0,108.0,12528.0
Misiones,Guarani,0.0,4649.0,93.0,11433.0,143.0,8836.0
